index,variable,value
price,price,1.0
bedrooms,price,0.3154379918717469
bathrooms,price,0.5251375054139628
sqft_living,price,0.7020350546118003
sqft_lot,price,0.08966086058710028
floors,price,0.25679388755071897
waterfront,price,0.266369434030602
view,price,0.39729348829450284
condition,price,0.036361789128997186
grade,price,0.6674342560202353
yr_built,price,0.05401153149479249
yr_renovated,price,0.1264337934408933
zipcode,price,-0.053202854298292135
price,bedrooms,0.3154379918717469
bedrooms,bedrooms,1.0
bathrooms,bedrooms,0.5291630183271732
sqft_living,bedrooms,0.5914709533499442
sqft_lot,bedrooms,0.032810957003291244
floors,bedrooms,0.1810979299844994
waterfront,bedrooms,-0.006609411140899515
view,bedrooms,0.08193489924491593
condition,bedrooms,0.025428234794282283
grade,bedrooms,0.36650874181166254
yr_built,bedrooms,0.15917979366257107
yr_renovated,bedrooms,0.01962060341557598
zipcode,bedrooms,-0.15710011149466704
price,bathrooms,0.5251375054139628
bedrooms,bathrooms,0.5291630183271732
bathrooms,bathrooms,1.0
sqft_living,bathrooms,0.7546652789673751
sqft_lot,bathrooms,0.0877396615312631
floors,bathrooms,0.5006531725878689
waterfront,bathrooms,0.0637436291356373
view,bathrooms,0.18773702397664258
condition,bathrooms,-0.12498193347933305
grade,bathrooms,0.6649825338780723
yr_built,bathrooms,0.5060194382852536
yr_renovated,bathrooms,0.05073897764805925
zipcode,bathrooms,-0.20386627357604262
price,sqft_living,0.7020350546118003
bedrooms,sqft_living,0.5914709533499442
bathrooms,sqft_living,0.7546652789673751
sqft_living,sqft_living,1.0
sqft_lot,sqft_living,0.1728256613236004
floors,sqft_living,0.3539492902367184
waterfront,sqft_living,0.1038178176845019
view,sqft_living,0.2846111862169018
condition,sqft_living,-0.05875258685942625
grade,sqft_living,0.7627044764584775
yr_built,sqft_living,0.3180487689964441
yr_renovated,sqft_living,0.05536292687380444
zipcode,sqft_living,-0.19943004289514654
price,sqft_lot,0.08966086058710028
bedrooms,sqft_lot,0.032810957003291244
bathrooms,sqft_lot,0.0877396615312631
sqft_living,sqft_lot,0.1728256613236004
sqft_lot,sqft_lot,1.0
floors,sqft_lot,-0.005200990872992026
waterfront,sqft_lot,0.02160368327661375
view,sqft_lot,0.07471010556640102
condition,sqft_lot,-0.008958249506243325
grade,sqft_lot,0.11362112362862972
yr_built,sqft_lot,0.05308036702557681
yr_renovated,sqft_lot,0.007643505013563346
zipcode,sqft_lot,-0.12957448631743546
price,floors,0.25679388755071897
bedrooms,floors,0.1810979299844994
bathrooms,floors,0.5006531725878689
sqft_living,floors,0.3539492902367184
sqft_lot,floors,-0.005200990872992026
floors,floors,1.0
waterfront,floors,0.023698320254974464
view,floors,0.029443820231031943
condition,floors,-0.2637679455086461
grade,floors,0.45818251367194585
yr_built,floors,0.48931942474364576
yr_renovated,floors,0.006338400758647952
zipcode,floors,-0.059120641671351
price,waterfront,0.266369434030602
bedrooms,waterfront,-0.006609411140899515
bathrooms,waterfront,0.0637436291356373
sqft_living,waterfront,0.1038178176845019
sqft_lot,waterfront,0.02160368327661375
floors,waterfront,0.023698320254974464
waterfront,waterfront,1.0
view,waterfront,0.40185735069757367
condition,waterfront,0.016653157443820055
grade,waterfront,0.08277491386769598
yr_built,waterfront,-0.026161085578766202
yr_renovated,waterfront,0.09288483674710032
zipcode,waterfront,0.030284727603258628
price,view,0.39729348829450284
bedrooms,view,0.08193489924491593
bathrooms,view,0.18773702397664258
sqft_living,view,0.2846111862169018
sqft_lot,view,0.07471010556640102
floors,view,0.029443820231031943
waterfront,view,0.40185735069757367
view,view,1.0
condition,view,0.045989736655110275
grade,view,0.25132058451449185
yr_built,view,-0.053439851392326376
yr_renovated,view,0.10391728817392419
zipcode,view,0.08482691692631834
price,condition,0.036361789128997186
bedrooms,condition,0.025428234794282283
bathrooms,condition,-0.12498193347933305
sqft_living,condition,-0.05875258685942625
sqft_lot,condition,-0.008958249506243325
floors,condition,-0.2637679455086461
waterfront,condition,0.016653157443820055
view,condition,0.045989736655110275
condition,condition,1.0
grade,condition,-0.14467367120300054
yr_built,condition,-0.36141656224866225
yr_renovated,condition,-0.0606177865758937
zipcode,condition,0.003025523894877
price,grade,0.6674342560202353
bedrooms,grade,0.36650874181166254
bathrooms,grade,0.6649825338780723
sqft_living,grade,0.7627044764584775
sqft_lot,grade,0.11362112362862972
floors,grade,0.45818251367194585
waterfront,grade,0.08277491386769598
view,grade,0.25132058451449185
condition,grade,-0.14467367120300054
grade,grade,1.0
yr_built,grade,0.4469632049266072
yr_renovated,grade,0.014414280720814866
zipcode,grade,-0.1848620929076474
price,yr_built,0.05401153149479249
bedrooms,yr_built,0.15917979366257107
bathrooms,yr_built,0.5060194382852536
sqft_living,yr_built,0.3180487689964441
sqft_lot,yr_built,0.05308036702557681
floors,yr_built,0.48931942474364576
waterfront,yr_built,-0.026161085578766202
view,yr_built,-0.053439851392326376
condition,yr_built,-0.36141656224866225
grade,yr_built,0.4469632049266072
yr_built,yr_built,1.0
yr_renovated,yr_built,-0.22487351845188122
zipcode,yr_built,-0.3468691778548273
price,yr_renovated,0.1264337934408933
bedrooms,yr_renovated,0.01962060341557598
bathrooms,yr_renovated,0.05073897764805925
sqft_living,yr_renovated,0.05536292687380444
sqft_lot,yr_renovated,0.007643505013563346
floors,yr_renovated,0.006338400758647952
waterfront,yr_renovated,0.09288483674710032
view,yr_renovated,0.10391728817392419
condition,yr_renovated,-0.0606177865758937
grade,yr_renovated,0.014414280720814866
yr_built,yr_renovated,-0.22487351845188122
yr_renovated,yr_renovated,1.0
zipcode,yr_renovated,0.06435705728827955
price,zipcode,-0.053202854298292135
bedrooms,zipcode,-0.15710011149466704
bathrooms,zipcode,-0.20386627357604262
sqft_living,zipcode,-0.19943004289514654
sqft_lot,zipcode,-0.12957448631743546
floors,zipcode,-0.059120641671351
waterfront,zipcode,0.030284727603258628
view,zipcode,0.08482691692631834
condition,zipcode,0.003025523894877
grade,zipcode,-0.1848620929076474
yr_built,zipcode,-0.3468691778548273
yr_renovated,zipcode,0.06435705728827955
zipcode,zipcode,1.0
